Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Pink Tamu Swahili Cafe & Restaurant],Price [Pink Tamu Swahili Cafe & Restaurant],In stock [Pink Tamu Swahili Cafe & Restaurant],Low stock [Pink Tamu Swahili Cafe & Restaurant]
tea---milk/maziwa,TEA99,Tea - Milk/Maziwa,Nonalc Drinks,<p>chai</p>,N,,,,,,,0.00,,,,N,Y,150.00,,
toilet,SRV07,Toilet,Services,,N,,,,,,,0.00,,,,N,Y,50.00,,
toilet-paper,TOI63,Toilet Tissue,General,<ul><li>Toilet Paper</li></ul>,N,,,,,,,36.00,,,,N,Y,55.00,,
tomato,TOM80,Tomato,Food,,N,,,,,,,0.00,,,,N,Y,20.00,,
takeaway-tomato-sauce,TAK90,Tomato Sauce Packet,Food,<p>Takeaway tomato sauce</p>,N,,,,,,,15.00,,,,Y,Y,20.00,10.000,3.000
toothbrush,TOO68,Toothbrush 🪥,General,,N,,,,,,,0.00,,,,Y,Y,60.00,5.000,
toothpaste,TOO67,Toothpaste,General,<p>Colgate</p>,N,,,,,,,79.00,,,,Y,Y,130.00,8.000,4.000
toothpicks,TOO70,Toothpicks,General,,N,,,,,,,0.00,,,,N,Y,130.00,,
"drum,-small-🥁",DRU76,"Traditional Drum, Small 🥁",General,,N,,,,,,,0.00,,,,Y,Y,1400.00,3.000,
"drum,-large-🥁",DRU93,"Traditional Drum, Tall 🥁",General,,N,,,,,,,0.00,,,,Y,Y,1700.00,1.000,
bag/secure-storage-&-transaction-fee,TF-0,"Transaction Fee, Courier",Transportation,,N,,,,,,,0.00,,,,N,Y,variable,,
treatos-choco-chip-cookies-100g,TRE28,Treatos Choco Chip Cookies 100g,Snacks,,N,,,,,,,145.00,,,,Y,Y,210.00,3.000,1.000
tropical-mint-candy,TRO53,Tropical Mint Candy,General,,N,,,,,,,2.00,,,,Y,Y,5.00,69.000,
tusker-cider,TUS37,"Tusker Cider, 500ml can",Alcohol,,N,,,,,,,234.00,,,,Y,Y,350.00,7.000,3.000
tusker-lager,TUS06,Tusker Lager 500ml can,Alcohol,,N,,,,,,,199.00,,,,Y,Y,335.00,13.000,5.000
tusker-light,TUS46,Tusker Lite 500ml can,Alcohol,,N,,,,,,,270.00,,,,Y,Y,395.00,5.000,3.000
tusker-malt-300ml-btl,TUS05,"Tusker Malt 300ml, bottle",Alcohol,<p>bottle</p>,N,,,,,,,250.00,,,,Y,Y,365.00,0.000,
"tusker-malt,-can",TUS84,"Tusker Malt Lager, 500ml can",Alcohol,,N,,,,,,,252.00,,,,Y,Y,375.00,5.000,2.000
ugali,UGALI,Ugali,Food,,N,,,,,,,0.00,,,,N,Y,120.00,,
umbrella,UMB43,Umbrella,General,,N,,,,,,,600.00,,,,Y,Y,980.00,1.000,
"unga-ugali,-1kg",UNG83,"Unga Ugali, 1kg",Food,,Y,,,,,,,0.00,,,,N,Y,120.00,,
urban-bites,URB54,Urban Bites,Snacks,,N,,,,,,,90.00,,,,Y,Y,110.00,1.000,
urban-stix,URB17,Urban Stix,Snacks,,N,,,,,,,37.00,,,,Y,Y,80.00,3.000,1.000
v-&-a-imperial-cream-fine-liqueur-250ml,VAI24,V & A Imperial Cream Fine Liqueur 250ml,Alcohol,,N,,,,,,,300.00,,,,Y,Y,480.00,0.000,
v&a-imperial-cream-fine-liqueur-750ml,VAI32,V&A Imperial Cream Fine Liqueur 750ml,Alcohol,,N,,,,,,,768.00,,,,Y,Y,1750.00,1.000,
va-imperial-cream-fine-liqueur-shot-vai32,VAI32-H125,V&A Imperial Cream Fine Liqueur Shot,Shots,,N,Size,125ml - Half Quarter,,,,,128.00,,,,N,Y,230.00,,
va-imperial-cream-fine-liqueur-shot-vai32,VAI32-B150,,,,,,150ml - Big Shot,,,,,153.60,,,,,Y,330.00,,
va-imperial-cream-fine-liqueur-shot-vai32,VAI32-T25,,,,,,25ml - Tiny Shot,,,,,25.60,,,,,Y,70.00,,
va-imperial-cream-fine-liqueur-shot-vai32,VAI32-M75,,,,,,75ml - Medium Shot,,,,,76.80,,,,,Y,180.00,,
viazi-karai,VIAZK12,Viazi Karai,Food,,N,Size,12 piece,,,,,30.00,,,,N,Y,90.00,,
viazi-karai,VIAZK04,,,,,,4 piece,,,,,10.00,,,,,Y,30.00,,
viceroy-250ml,VIC25,Viceroy 250ml,Alcohol,,N,,,,,,,600.00,,,,Y,Y,1100.00,3.000,1.000
viceroy-750ml,VIC13,Viceroy 750ml,Alcohol,,N,,,,,,,1278.00,,,,Y,Y,2400.00,2.000,
viceroy-shot-vic13,VIC13-H125,Viceroy Shot,Shots,,N,Size,125ml - Half Quarter,,,,,213.00,,,,N,Y,380.00,,
viceroy-shot-vic13,VIC13-B150,,,,,,150ml - Big Shot,,,,,255.60,,,,,Y,550.00,,
viceroy-shot-vic13,VIC13-T25,,,,,,25ml - Tiny Shot,,,,,42.60,,,,,Y,110.00,,
viceroy-shot-vic13,VIC13-M75,,,,,,75ml - Medium Shot,,,,,127.80,,,,,Y,290.00,,
weetabix,WEE30,Weetabix,Food,,N,Serving Size,30g/serving,,,,,33.30,,,,Y,Y,60.00,15.000,
weetabix,WEE45,,,,,,450g Factory Sealed,,,,,499.00,,,,,Y,900.00,1.000,
white-cap,WHI07,"White Cap, 500ml can",Alcohol,,N,,,,,,,250.00,,,,Y,Y,365.00,9.000,3.000
wifi-🌐-(4-hours),WIFI-04,Wifi Access 🌐,Services,<p>Pink Tamu Guest: PT0765967243</p>,N,,,,,,,0.00,,,,N,Y,40.00,,
yogurt,YOG61,"Yogurt, 450g (Delamere)",Food,,N,,,,,,,160.00,,,,Y,Y,260.00,3.000,
zycet-(allergy-med),ZYC83,Zycet (Allergy Med),Medical,,N,,,,,,,10.00,,,,Y,Y,25.00,27.000,
glass-of-4th-street-red-wine-150ml-4sr24-g150,4SR24-G150,🍷 Glass of 4th Street Red Wine - 150ml,Glass of Wine,,N,,,,,,,240.00,,,,N,Y,405.00,,
glass-of-bianco-nobile-white-wine-150ml-bia97-g150,BIA97-G150,🍷 Glass of Bianco Nobile White Wine - 150ml,Glass of Wine,,N,,,,,,,240.00,,,,N,Y,415.00,,
glass-of-four-cousins-white-wine-150ml-fou44-g150,FOU44-G150,🍷 Glass of Four Cousins White Wine - 150ml,Glass of Wine,,N,,,,,,,240.00,,,,N,Y,405.00,,
glass-of-olepasu-cioccolata-red-wine-150ml-ocr18-g150,OCR18-G150,🍷 Glass of Olepasu Cioccolata Red Wine - 150ml,Glass of Wine,,N,,,,,,,300.00,,,,N,Y,450.00,,
glass-of-robertson-natural-sweet-red-wine-150ml-rob28-g150,ROB28-G150,🍷 Glass of Robertson Natural Sweet Red Wine - 150ml,Glass of Wine,,N,,,,,,,280.00,,,,N,Y,460.00,,
glass-of-rosso-nobile-red-wine-150ml-rnr63-g150,RNR63-G150,🍷 Glass of Rosso Nobile Red Wine - 150ml,Glass of Wine,,N,,,,,,,300.00,,,,N,Y,455.00,,
